member,archive,archive_url,crs,min_x,min_y,max_x,max_y
3dm_33_397_5825_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,397000,5825000,398000,5826000
3dm_33_398_5816_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,398000,5816000,399000,5817000
3dm_33_398_5817_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,398000,5817000,399000,5818000
3dm_33_398_5818_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,398000,5818000,399000,5819000
3dm_33_398_5819_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,398000,5819000,399000,5820000
3dm_33_398_5820_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,398000,5820000,399000,5821000
3dm_33_398_5821_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,398000,5821000,399000,5822000
3dm_33_398_5822_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,398000,5822000,399000,5823000
3dm_33_398_5823_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,398000,5823000,399000,5824000
3dm_33_398_5824_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,398000,5824000,399000,5825000
3dm_33_398_5825_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,398000,5825000,399000,5826000
3dm_33_399_5816_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,399000,5816000,400000,5817000
3dm_33_399_5817_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,399000,5817000,400000,5818000
3dm_33_399_5818_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,399000,5818000,400000,5819000
3dm_33_399_5819_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,399000,5819000,400000,5820000
3dm_33_399_5820_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,399000,5820000,400000,5821000
3dm_33_399_5821_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,399000,5821000,400000,5822000
3dm_33_399_5822_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,399000,5822000,400000,5823000
3dm_33_399_5823_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,399000,5823000,400000,5824000
3dm_33_399_5824_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,399000,5824000,400000,5825000
3dm_33_399_5825_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,399000,5825000,400000,5826000
3dm_33_384_5826_1_be.las,Nord.zip,https://gdi.berlin.de/data/a_als/atom/Nord.zip,EPSG:25833,384000,5826000,385000,5827000
3dm_33_384_5827_1_be.las,Nord.zip,https://gdi.berlin.de/data/a_als/atom/Nord.zip,EPSG:25833,384000,5827000,385000,5828000
3dm_33_384_5828_1_be.las,Nord.zip,https://gdi.berlin.de/data/a_als/atom/Nord.zip,EPSG:25833,384000,5828000,385000,5829000
3dm_33_384_5829_1_be.las,Nord.zip,https://gdi.berlin.de/data/a_als/atom/Nord.zip,EPSG:25833,384000,5829000,385000,5830000
3dm_33_384_5830_1_be.las,Nord.zip,https://gdi.berlin.de/data/a_als/atom/Nord.zip,EPSG:25833,384000,5830000,385000,5831000
3dm_33_384_5831_1_be.las,Nord.zip,https://gdi.berlin.de/data/a_als/atom/Nord.zip,EPSG:25833,384000,5831000,385000,5832000
3dm_33_384_5832_1_be.las,Nord.zip,https://gdi.berlin.de/data/a_als/atom/Nord.zip,EPSG:25833,384000,5832000,385000,5833000
3dm_33_384_5833_1_be.las,Nord.zip,https://gdi.berlin.de/data/a_als/atom/Nord.zip,EPSG:25833,384000,5833000,385000,5834000
3dm_33_384_5834_1_be.las,Nord.zip,https://gdi.berlin.de/data/a_als/atom/Nord.zip,EPSG:25833,384000,5834000,385000,5835000
3dm_33_384_5835_1_be.las,Nord.zip,https://gdi.berlin.de/data/a_als/atom/Nord.zip,EPSG:25833,384000,5835000,385000,5836000
3dm_33_384_5836_1_be.las,Nord.zip,https://gdi.berlin.de/data/a_als/atom/Nord.zip,EPSG:25833,384000,5836000,385000,5837000
3dm_33_385_5826_1_be.las,Nord.zip,https://gdi.berlin.de/data/a_als/atom/Nord.zip,EPSG:25833,385000,5826000,386000,5827000
3dm_33_385_5827_1_be.las,Nord.zip,https://gdi.berlin.de/data/a_als/atom/Nord.zip,EPSG:25833,385000,5827000,386000,5828000
3dm_33_385_5828_1_be.las,Nord.zip,https://gdi.berlin.de/data/a_als/atom/Nord.zip,EPSG:25833,385000,5828000,386000,5829000
3dm_33_385_5829_1_be.las,Nord.zip,https://gdi.berlin.de/data/a_als/atom/Nord.zip,EPSG:25833,385000,5829000,386000,5830000
3dm_33_385_5830_1_be.las,Nord.zip,https://gdi.berlin.de/data/a_als/atom/Nord.zip,EPSG:25833,385000,5830000,386000,5831000
3dm_33_385_5831_1_be.las,Nord.zip,https://gdi.berlin.de/data/a_als/atom/Nord.zip,EPSG:25833,385000,5831000,386000,5832000
3dm_33_385_5832_1_be.las,Nord.zip,https://gdi.berlin.de/data/a_als/atom/Nord.zip,EPSG:25833,385000,5832000,386000,5833000
3dm_33_385_5833_1_be.las,Nord.zip,https://gdi.berlin.de/data/a_als/atom/Nord.zip,EPSG:25833,385000,5833000,386000,5834000
3dm_33_385_5834_1_be.las,Nord.zip,https://gdi.berlin.de/data/a_als/atom/Nord.zip,EPSG:25833,385000,5834000,386000,5835000
3dm_33_385_5835_1_be.las,Nord.zip,https://gdi.berlin.de/data/a_als/atom/Nord.zip,EPSG:25833,385000,5835000,386000,5836000
3dm_33_385_5836_1_be.las,Nord.zip,https://gdi.berlin.de/data/a_als/atom/Nord.zip,EPSG:25833,385000,5836000,386000,5837000
