task_id	hash	name	tag	status	exit	attempt	realtime	duration	%cpu	peak_rss	peak_vmem	rchar	wchar
153	4f/6744f9	OSM_TO_SHAPES (grid_25832_36_348)	grid_25832_36_348	COMPLETED	0	1	2.6s	3.8s	101.3%	246.4 MB	9.6 GB	360.5 MB	171 MB
44	2b/ad819d	OSM_EXTRACT (chunk_00041)	chunk_00041	COMPLETED	0	1	14.4s	16.9s	379.1%	13.8 GB	16.1 GB	2.4 GB	23.8 MB
46	42/c07bba	OSM_EXTRACT (chunk_00043)	chunk_00043	COMPLETED	0	1	15s	17.7s	385.5%	14.1 GB	16.4 GB	2.4 GB	54 MB
154	76/875a87	OSM_TO_SHAPES (grid_25832_36_349)	grid_25832_36_349	COMPLETED	0	1	1.9s	3.4s	102.2%	16 MB	176.9 MB	202.2 MB	104 MB
79	13/11c666	OSM_EXTRACT (chunk_00076)	chunk_00076	COMPLETED	0	1	14.1s	15.2s	379.9%	13.5 GB	15.9 GB	2.4 GB	14.2 MB
69	ea/dadbbe	OSM_EXTRACT (chunk_00066)	chunk_00066	COMPLETED	0	1	14.2s	15.1s	380.0%	13.3 GB	15.7 GB	2.4 GB	15.6 MB
151	72/2757c1	OSM_TO_SHAPES (grid_25832_36_346)	grid_25832_36_346	COMPLETED	0	1	4.5s	6.3s	101.2%	255.6 MB	9.6 GB	1.3 GB	399.6 MB
157	aa/ea80e1	OSM_TO_SHAPES (grid_25832_36_344)	grid_25832_36_344	COMPLETED	0	1	3.8s	4.7s	100.9%	245.2 MB	9.6 GB	1.5 GB	444.6 MB
50	e5/0fef1e	OSM_EXTRACT (chunk_00047)	chunk_00047	COMPLETED	0	1	14.1s	15s	381.5%	13.5 GB	15.8 GB	2.4 GB	19.3 MB
158	15/6a4579	OSM_TO_SHAPES (grid_25832_36_345)	grid_25832_36_345	COMPLETED	0	1	2.8s	4.3s	101.4%	238.9 MB	9.6 GB	595.7 MB	231.6 MB
156	36/4ed45f	OSM_TO_SHAPES (grid_25832_36_343)	grid_25832_36_343	COMPLETED	0	1	2.7s	4.9s	101.4%	237.7 MB	9.6 GB	879.3 MB	294 MB
84	39/b55845	OSM_EXTRACT (chunk_00081)	chunk_00081	COMPLETED	0	1	11.7s	13.1s	431.6%	11.2 GB	13.7 GB	2.4 GB	6.9 MB
